	D36E_Col	D36E_Kb	D36E_FC	D36E_DEG	OG	KO.id	KO.description
PSPTO_2929	5.18921101203257	6.30626292980722	-1.11705191777465	down	OG0004851		
PSPTO_2931	5.25790180126897	5.63480047399145	-0.37689867272248	nonDEG	OG0005757		
PSPTO_2932	5.35571583159567	3.28110587252343	2.07460995907224	up	OG0000044	K19265	gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
PSPTO_2933	7.07767430739317	6.77133452156362	0.306339785829549	nonDEG	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
PSPTO_2934	3.51985236923742	1.33475583829302	2.1850965309444	nonDEG	OG0000704	K06350	kipA; antagonist of KipI
PSPTO_2935	4.39528332339388	2.96787657323386	1.42740675016002	nonDEG	OG0004344		
PSPTO_2936	5.32824289276948	1.29231677767064	4.03592611509884	up	OG0000416	K07160	UPF0271 protein
PSPTO_2937	5.07534441423088	4.83340643500688	0.241937979224	nonDEG	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
PSPTO_2938	2.42362959229794	3.00265801022602	-0.57902841792808	nonDEG	OG0000006		
PSPTO_2939	6.41048099687515	6.87615945071311	-0.46567845383796	nonDEG	OG0005926		
PSPTO_2941	3.53632321549138	3.1100832369373	0.42623997855408	nonDEG	OG0003777	K12508	fcs; feruloyl-CoA synthase [EC:6.2.1.34]
PSPTO_2943	4.03494524334904	4.08691764427501	-0.0519724009259699	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_2944	4.56378581885655	1.45460919027492	3.10917662858163	up	OG0002936	K18383	trans-feruloyl-CoA hydratase / vanillin synthase [EC:4.2.1.101 4.1.2.41]
PSPTO_2945	7.06123505811202	6.37573449520011	0.68550056291191	nonDEG	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
PSPTO_2947	4.85901540020329	3.71286446558781	1.14615093461548	nonDEG	OG0000061	K08369	ydjE; MFS transporter, putative metabolite:H+ symporter
PSPTO_2949	4.21752957210533	2.75549490023335	1.46203467187198	nonDEG	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
PSPTO_2950	4.71979802049729	3.6994325465651	1.02036547393219	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_2951	5.50266753082295	5.7914163046887	-0.28874877386575	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_2952	8.77133877628211	5.66156047900996	3.10977829727215	up	OG0003767		
PSPTO_2954	3.64783652192566	2.32353270890848	1.32430381301718	nonDEG	OG0000020	K07506	AraC family transcriptional regulator
PSPTO_2955	7.6492106647066	7.38015250529081	0.26905815941579	nonDEG	OG0000020	K07506	AraC family transcriptional regulator
PSPTO_2960	2.86401389904566	2.57214286912342	0.29187102992224	nonDEG	OG0006501	K21949	sbnA; N-(2-amino-2-carboxyethyl)-L-glutamate synthase [EC:2.5.1.140]
PSPTO_2961	2.17325830762601	2.39074562623446	-0.21748731860845	nonDEG	OG0001633	K10531	pvdA; L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]
PSPTO_2962	2.07014537991992	0.860881957750486	1.20926342216943	nonDEG	OG0006443	K01999	livK; branched-chain amino acid transport system substrate-binding protein
PSPTO_2966	6.94574751827246	7.27002760781899	-0.324280089546529	nonDEG	OG0003295		
PSPTO_2968	2.744121948165	3.06476898711116	-0.32064703894616	nonDEG	OG0002553	K19745	acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
PSPTO_2969	1.46689226189612	2.3690497517052	-0.90215748980908	nonDEG	OG0000473	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
PSPTO_2971	2.84691856025602	3.7063723564161	-0.85945379616008	nonDEG	OG0000138		
PSPTO_2972	6.80898465401443	6.95083106501747	-0.14184641100304	nonDEG	OG0000392	K00459	ncd2; nitronate monooxygenase [EC:1.13.12.16]
PSPTO_2973	7.8329304555545	7.25302770318695	0.57990275236755	nonDEG	OG0001396	K02020	modA; molybdate transport system substrate-binding protein
PSPTO_2974	2.50569403063729	4.02995894187485	-1.52426491123756	nonDEG	OG0000272	K02018	modB; molybdate transport system permease protein
PSPTO_2975	5.45194853984144	6.7186970964738	-1.26674855663236	down	OG0001959	K02017	modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]
PSPTO_2976	6.98872114770094	4.21968204829508	2.76903909940586	up	OG0001511	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]
PSPTO_2977	3.17716452771024	4.6747224425362	-1.49755791482596	nonDEG	OG0005656		
PSPTO_2978	5.05286801316545	4.69272815136162	0.36013986180383	nonDEG	OG0001968	K21712	gbpA; N-acetylglucosamine-binding protein A
PSPTO_2980	2.93936949245649	5.22149738808522	-2.28212789562873	down	OG0001402		
PSPTO_2981	3.48437818177379	3.79223108361374	-0.30785290183995	nonDEG	OG0000620	K09020	rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]
PSPTO_2982	6.08347843819008	5.86802481104229	0.21545362714779	nonDEG	OG0004073		
PSPTO_2984	5.20367112003674	4.36217772446702	0.84149339556972	nonDEG	OG0000108	K20938	ladA; long-chain alkane monooxygenase [EC:1.14.14.28]
PSPTO_2985	5.50386383628676	2.96102386391356	2.5428399723732	up	OG0000155		
PSPTO_2987	1.45512815287719	2.63183868032013	-1.17671052744294	nonDEG	OG0003265	K01999	livK; branched-chain amino acid transport system substrate-binding protein
PSPTO_2992	5.10473138508927	3.80943545465903	1.29529593043024	nonDEG	OG0000155		
PSPTO_2995	2.03228276867282	-0.690168693108649	2.72245146178147	nonDEG	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
PSPTO_2996	3.00991221341781	2.03304796483402	0.97686424858379	nonDEG	OG0002473	K10439	rbsB; ribose transport system substrate-binding protein
PSPTO_2997	5.9903201612353	6.63470245774801	-0.64438229651271	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_2998	6.94859584522295	7.34261895020332	-0.39402310498037	nonDEG	OG0005384		
PSPTO_2999	1.30866135205407	3.03542788065698	-1.72676652860291	nonDEG			
PSPTO_3000	6.36618862203734	1.65110039473278	4.71508822730456	up	OG0004601		
PSPTO_3001	6.68918264671398	5.17873151684889	1.51045112986509	up	OG0004351	K02529	lacI; LacI family transcriptional regulator
PSPTO_3002	7.33476511548959	5.65013255203412	1.68463256345547	up	OG0001719	K01805	xylA; xylose isomerase [EC:5.3.1.5]
PSPTO_3003	6.07543289031792	4.5362977710334	1.53913511928452	up	OG0002754	K10543	xylF; D-xylose transport system substrate-binding protein
PSPTO_3004	4.60949092218368	3.95328219410753	0.65620872807615	nonDEG	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
PSPTO_3005	3.26970033527724	3.2922354448211	-0.0225351095438602	nonDEG	OG0003067	K10544	xylH; D-xylose transport system permease protein
PSPTO_3006	2.87769288232694	3.220821580369	-0.34312869804206	nonDEG	OG0003751		
PSPTO_3007	2.68493773089248	3.16856831898941	-0.48363058809693	nonDEG	OG0002598	K00274	MAO; monoamine oxidase [EC:1.4.3.4]
PSPTO_3011	4.17990685169736	3.36374858431122	0.81615826738614	nonDEG	OG0000332	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
PSPTO_3016	3.45890595507635	2.77064339218307	0.68826256289328	nonDEG	OG0001400		
PSPTO_3017	4.90441547402574	6.03880365687696	-1.13438818285122	nonDEG	OG0002457	K02529	lacI; LacI family transcriptional regulator
PSPTO_3018	5.3181702089961	4.11997646338498	1.19819374561112	up	OG0001311	K03335	iolE; inosose dehydratase [EC:4.2.1.44]
PSPTO_3019	3.90120363415511	2.80012364753166	1.10107998662345	nonDEG	OG0000490		
PSPTO_3020	3.60287818126971	2.89156423896737	0.71131394230234	nonDEG	OG0000268	K19267	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
PSPTO_3021	6.80009421254346	7.35764499359486	-0.5575507810514	nonDEG	OG0004569		
PSPTO_3022	4.45208700340587	6.15140298899717	-1.6993159855913	down	OG0000980	K00995	pgsA; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
PSPTO_3023	7.48120810933395	6.85117997996982	0.63002812936413	nonDEG	OG0000981	K03703	uvrC; excinuclease ABC subunit C
PSPTO_3024	8.69577177179851	7.40337905610748	1.29239271569103	up	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
PSPTO_3025	3.57411812320108	2.64885473462674	0.92526338857434	nonDEG	OG0002261		
PSPTO_3026	7.43780669396026	6.76022586748777	0.67758082647249	nonDEG	OG0004353		
PSPTO_3027	6.75196585622848	5.37206950145773	1.37989635477075	up	OG0000597	K01626	E2.5.1.54; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
PSPTO_3028	7.25831690256346	8.26880620644608	-1.01048930388262	nonDEG	OG0000093	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
PSPTO_3029	5.4720545576045	6.15703853241128	-0.68498397480678	nonDEG	OG0000419	K13893	yejA; microcin C transport system substrate-binding protein
PSPTO_3030	2.96555973956998	4.77511974441636	-1.80956000484638	down	OG0001009	K13894	yejB; microcin C transport system permease protein
PSPTO_3031	2.25629127453927	5.26254562174243	-3.00625434720316	down	OG0001008	K13895	yejE; microcin C transport system permease protein
PSPTO_3032	4.98759179192848	6.25599799486247	-1.26840620293399	down	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_3033	6.0639252084178	6.20472649723862	-0.14080128882082	nonDEG	OG0000075	K02454	gspE; general secretion pathway protein E
PSPTO_3034	3.40275235421445	4.97021822010515	-1.5674658658907	nonDEG	OG0000093	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
PSPTO_3035	8.94000639172081	7.15757849707666	1.78242789464415	up	OG0000817	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]
PSPTO_3036	4.66440970810383	6.03405431834592	-1.36964461024209	down	OG0002933		
PSPTO_3037	2.26252536468156	3.91907949446209	-1.65655412978053	nonDEG	OG0003300		
PSPTO_3038	4.13380656155103	3.8718087824383	0.26199777911273	nonDEG	OG0003301		
PSPTO_3039	9.11539739447571	7.3051543210706	1.81024307340511	up	OG0002382		
PSPTO_3040	4.64736438515475	7.28900589472387	-2.64164150956912	down	OG0000807		
PSPTO_3041	2.52357110140331	2.28016306121848	0.24340804018483	nonDEG			
PSPTO_3043	2.47988920522513	3.50525034961447	-1.02536114438934	nonDEG	OG0002190	K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
PSPTO_3046	4.38145717974044	4.91504857128723	-0.53359139154679	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_3047	4.46065363983093	3.78589377172046	0.67475986811047	nonDEG	OG0000083	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
PSPTO_3049	3.61659075702012	3.36591489010173	0.25067586691839	nonDEG	OG0000115	K10439	rbsB; ribose transport system substrate-binding protein
PSPTO_3050	6.14959141118925	6.0219658696157	0.12762554157355	nonDEG	OG0000543	K14063	feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB
PSPTO_3054	2.71899632513042	2.60058367464603	0.11841265048439	nonDEG	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
PSPTO_3057	3.57021136393062	3.53189528946766	0.0383160744629598	nonDEG	OG0001916		
PSPTO_3058	1.43867269028243	2.79197575487988	-1.35330306459745	nonDEG	OG0004526	K02002	proX; glycine betaine/proline transport system substrate-binding protein
PSPTO_3060	3.49807778224552	1.68722606181641	1.81085172042911	nonDEG	OG0000581	K02000	proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
PSPTO_3061	1.13398808231796	4.00419422193663	-2.87020613961867	down	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
PSPTO_3062	5.36621017182342	5.1378876743896	0.22832249743382	nonDEG	OG0001159	K00479	gbcA; glycine betaine catabolism A
PSPTO_3063	0.090727402568704	1.99785988173755	-1.90713247916885	nonDEG	OG0000164	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
PSPTO_3064	1.41962500025304	2.94820984056518	-1.52858484031214	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_3065	5.28820530091372	5.94826560455911	-0.660060303645389	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_3066	2.57096992754821	1.34629605214371	1.2246738754045	nonDEG	OG0000405		
PSPTO_3067	5.18938053963188	5.73697897872804	-0.547598439096159	nonDEG	OG0003900		
PSPTO_3068	1.95311441671527	2.96983657047792	-1.01672215376265	nonDEG	OG0001939		
PSPTO_3069	6.35604670660994	4.95454783781884	1.4014988687911	up	OG0000525	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
PSPTO_3070	4.78008859413451	3.48663423410805	1.29345436002646	up	OG0000391	K03827	yjaB; putative acetyltransferase [EC:2.3.1.-]
PSPTO_3071	6.80096397883423	5.52879714379261	1.27216683504162	up	OG0000695	K18893	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump
PSPTO_3072	1.94444219030138	2.97724988671394	-1.03280769641256	nonDEG	OG0000022	K13653	AraC family transcriptional regulator
PSPTO_3073	3.14174314171232	2.03337413596528	1.10836900574704	nonDEG	OG0002050		
PSPTO_3074	3.71891776199249	3.86654947743737	-0.14763171544488	nonDEG	OG0000022	K13653	AraC family transcriptional regulator
PSPTO_3075	3.51824870879122	3.44170011843707	0.0765485903541503	nonDEG	OG0001465	K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
PSPTO_3076	5.70563476330584	4.32316482055491	1.38246994275093	up	OG0000473	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
PSPTO_3077	2.22281371119192	2.49657481609429	-0.27376110490237	nonDEG	OG0000129	K10680	nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
PSPTO_3078	4.06840928107534	2.98457853215117	1.08383074892417	nonDEG	OG0002758		
PSPTO_3079	4.38862960734509	1.23064021481905	3.15798939252604	up	OG0001720		
PSPTO_3080	4.79585895438304	4.73118052054774	0.0646784338352999	nonDEG	OG0000129	K10680	nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
PSPTO_3081	4.14556437536516	4.20618240875041	-0.06061803338525	nonDEG	OG0000006		
PSPTO_3082	4.89474048927707	5.31401694128513	-0.41927645200806	nonDEG	OG0000540	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
PSPTO_3083	3.6584097184985	5.45335252131779	-1.79494280281929	down	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
PSPTO_3085	2.68175047353457	2.78189967464341	-0.10014920110884	nonDEG	OG0000026	K02029	ABC.PA.P; polar amino acid transport system permease protein
PSPTO_3086	6.40765054971931	2.61314774196513	3.79450280775418	up	OG0000016	K07729	putative transcriptional regulator
PSPTO_3087	0.216495507425673	-2.20261362980437	2.41910913723004	nonDEG			
PSPTO_3088	6.82422311996892	4.23656306456635	2.58766005540257	up	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_3089	4.25654630208112	3.21286071472507	1.04368558735605	nonDEG	OG0000036	K02033	ABC.PE.P; peptide/nickel transport system permease protein
PSPTO_3090	4.01585092232393	2.65561239074679	1.36023853157714	nonDEG	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
PSPTO_3091	4.85319675556364	3.44461505796689	1.40858169759675	up	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
PSPTO_3092	5.92327468692163	4.2761788446204	1.64709584230123	up	OG0003511		
PSPTO_3094	4.76992454946148	5.02932341101946	-0.25939886155798	nonDEG	OG0004604		
PSPTO_3096	6.6172041843301	7.18034220236016	-0.56313801803006	nonDEG			
PSPTO_3098	4.8046243083112	4.34886892282297	0.45575538548823	nonDEG	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
PSPTO_3099	8.58469289258599	4.29135987781821	4.29333301476778	up	OG0001157	K18298	mexE; membrane fusion protein, multidrug efflux system
PSPTO_3100	7.20159017966432	4.73146013083958	2.47013004882474	up	OG0000023	K18138	acrB; multidrug efflux pump
PSPTO_3101	7.01814116270781	5.08382401966857	1.93431714303924	up	OG0000059	K18139	oprM; outer membrane protein, multidrug efflux system
PSPTO_3102	9.0263455227155	8.66260006625213	0.36374545646337	nonDEG	OG0001513		
PSPTO_3103	9.11246994103129	9.25077145754311	-0.13830151651182	nonDEG	OG0001960		
PSPTO_3104	3.53041142977401	4.32203969766637	-0.79162826789236	nonDEG			
PSPTO_3105	6.25086979029231	6.11520014126711	0.1356696490252	nonDEG	OG0003769		
PSPTO_3106	9.21799121013845	10.148553876048	-0.93056266590955	nonDEG	OG0001397	K01759	GLO1; lactoylglutathione lyase [EC:4.4.1.5]
PSPTO_3107	8.48268747005016	3.96373718031426	4.5189502897359	up	OG0002156	K03387	ahpF; alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]
PSPTO_3108	14.013907652377	13.2472179308362	0.7666897215408	nonDEG	OG0000393	K03386	PRDX2_4; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]
PSPTO_3109	9.10338484928072	10.8934076704733	-1.79002282119258	down	OG0002155		
PSPTO_3110	5.998516079295	5.90735078065315	0.0911652986418501	nonDEG	OG0002378		
PSPTO_3111	5.456379854569	4.64157530024991	0.81480455431909	nonDEG	OG0000053	K13587	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
PSPTO_3112	6.97828421173653	6.96624081407378	0.0120433976627501	nonDEG	OG0001777	K00383	GSR; glutathione reductase (NADPH) [EC:1.8.1.7]
PSPTO_3113	10.8028766222588	9.80025203298835	1.00262458927045	up	OG0000420	K00963	UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
PSPTO_3114	5.49776923395725	4.55196223600461	0.94580699795264	nonDEG	OG0001512		
PSPTO_3115	6.42264819805892	6.88550387546975	-0.46285567741083	nonDEG	OG0003292		
PSPTO_3116	8.3239138097775	7.45578680086853	0.868127008908969	nonDEG	OG0002616		
PSPTO_3117	4.39950914665651	2.6244038857955	1.77510526086101	nonDEG	OG0004254		
PSPTO_3118	2.95356705347947	3.30448498345363	-0.35091792997416	nonDEG	OG0002154	K03919	alkB; DNA oxidative demethylase [EC:1.14.11.33]
PSPTO_3119	7.23788000487521	5.61657071205673	1.62130929281848	up	OG0000767		
PSPTO_3120	6.27420211445795	4.43799352882945	1.8362085856285	up	OG0000246	K21064	ycsE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
PSPTO_3121	7.49915738464897	5.66792698705332	1.83123039759565	up	OG0000236	K00036	G6PD; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
PSPTO_3122	9.13911508350742	6.81628638025308	2.32282870325434	up	OG0000475	K00033	PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
PSPTO_3123	9.41396666248414	9.30571958603812	0.108247076446021	nonDEG	OG0004902		
PSPTO_3124	2.37862912006517	3.53385513896961	-1.15522601890444	nonDEG	OG0003445		
PSPTO_3125	10.5917033975869	6.88124323461618	3.71046016297072	up	OG0001267	K00703	glgA; starch synthase [EC:2.4.1.21]
PSPTO_3126	7.3999158638725	5.00623170736525	2.39368415650725	up	OG0001642	K01236	treZ; maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]
PSPTO_3127	8.61029663834323	6.43431655551269	2.17598008283054	up	OG0001772	K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
PSPTO_3128	9.05963389637057	6.71799112321341	2.34164277315716	up	OG0001641	K06044	treY; (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
PSPTO_3129	11.6634259382927	8.8986030718594	2.7648228664333	up	OG0001957		
PSPTO_3130	9.53992702670167	7.38951643175472	2.15041059494695	up	OG0000539	K01214	ISA; isoamylase [EC:3.2.1.68]
PSPTO_3131	6.12761790897679	5.69147943568988	0.43613847328691	nonDEG	OG0002153		
PSPTO_3132	6.24893043622691	4.57682881422469	1.67210162200222	up	OG0000813	K01463	bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
PSPTO_3133	4.00769706929061	2.38686676226667	1.62083030702394	nonDEG	OG0001510	K13623	btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
PSPTO_3134	3.18677208527406	2.83978646398387	0.34698562129019	nonDEG	OG0000814		
PSPTO_3135	5.62944000990936	4.84842554447523	0.78101446543413	nonDEG	OG0001755		
PSPTO_3136	8.69065603633223	5.42002951045341	3.27062652587882	up	OG0000253	K01118	acpD; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
PSPTO_3137	3.54371217911965	4.57783408206754	-1.03412190294789	nonDEG	OG0000006		
PSPTO_3138	3.99689958080836	5.10732893822657	-1.11042935741821	nonDEG	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
PSPTO_3139	5.31487242139979	3.13421229413702	2.18066012726277	up	OG0001400		
PSPTO_3140	1.66221252008708	3.5344650563918	-1.87225253630472	nonDEG	OG0001519		
PSPTO_3141	4.88747267531148	5.62405266618982	-0.736579990878339	nonDEG	OG0000578	K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
PSPTO_3142	4.1208114051139	5.94536804329802	-1.82455663818412	down	OG0001015	K03811	pnuC; nicotinamide mononucleotide transporter
PSPTO_3143	1.90898838686693	4.70806750970918	-2.79907912284225	down	OG0002158	K06211	nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]
PSPTO_3144	4.29704967423541	4.07183579161721	0.2252138826182	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
PSPTO_3145	8.62900024777875	11.0688981824988	-2.43989793472005	down	OG0003446		
PSPTO_3147	3.3274061751453	5.21765624332605	-1.89025006818075	down	OG0003030	K13580	magnesium chelatase subunit ChlD-like protein
PSPTO_3148	5.46966294869029	6.6183193735473	-1.14865642485701	down	OG0003444	K03405	chlI; magnesium chelatase subunit I [EC:6.6.1.1]
PSPTO_3149	8.44936538824725	9.38956050473122	-0.94019511648397	nonDEG	OG0003029	K02230	cobN; cobaltochelatase CobN [EC:6.6.1.2]
PSPTO_3150	7.85745026976589	7.23207964710702	0.62537062265887	nonDEG	OG0000161	K02234	cobW; cobalamin biosynthesis protein CobW
PSPTO_3151	7.30102229941073	8.09093261982577	-0.78991032041504	nonDEG	OG0002464		
PSPTO_3152	6.7086720147902	7.23546897861507	-0.52679696382487	nonDEG	OG0003028		
PSPTO_3154	4.35320773636756	5.56301485255765	-1.20980711619009	down	OG0002463	K05936	cobM; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]
PSPTO_3155	9.26709337831118	10.3277120717879	-1.06061869347672	down	OG0002520	K04090	E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
PSPTO_3156	6.06200995406113	5.69172689976732	0.37028305429381	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
PSPTO_3157	8.81213112703961	6.3209469055652	2.49118422147441	up	OG0005217		
PSPTO_3159	2.95389352454248	3.0741963044328	-0.12030277989032	nonDEG	OG0002434		
PSPTO_3160	5.00035525289207	2.81164756528287	2.1887076876092	up	OG0002688		
PSPTO_3161	4.66455196369618	6.59815051365997	-1.93359854996379	down	OG0002357		
PSPTO_3162	7.67901154689167	7.7235071374443	-0.0444955905526303	nonDEG	OG0000452		
PSPTO_3163	5.83114468743688	4.64436057139338	1.1867841160435	up	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
PSPTO_3164	6.9962820392044	4.55508627892437	2.44119576028003	up	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
PSPTO_3165	7.18088025671145	4.36507794230891	2.81580231440254	up	OG0003449		
PSPTO_3166	3.74755527782626	3.65303675126752	0.09451852655874	nonDEG	OG0007755		
PSPTO_3167	5.83160895018731	4.96506549241383	0.866543457773481	nonDEG			
PSPTO_3169	1.17600877466089	-0.505525212515961	1.68153398717685	nonDEG			
PSPTO_3170	4.1776936478181	4.98184330652259	-0.80414965870449	nonDEG	OG0000146	K05349	bglX; beta-glucosidase [EC:3.2.1.21]
PSPTO_3171	2.39962721944828	4.32258036906052	-1.92295314961224	down	OG0000025	K19736	aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
PSPTO_3172	5.13226461457609	6.06038696067667	-0.92812234610058	nonDEG	OG0001066		
PSPTO_3173	5.28392263351789	6.0998177665296	-0.815895133011709	nonDEG	OG0003854		
PSPTO_3174	12.9840524294436	10.677328766176	2.3067236632676	up	OG0000656		
PSPTO_3175	4.629825988674	5.98550989497962	-1.35568390630562	nonDEG	OG0002899		
PSPTO_3176	9.37114293272741	4.7780825250259	4.59306040770151	up	OG0001873	K01400	nprE; bacillolysin [EC:3.4.24.28]
PSPTO_3177	5.96500021364632	4.61393422917914	1.35106598446718	up	OG0006449		
PSPTO_3179	7.56001315652523	8.56482983590964	-1.00481667938441	down	OG0002780	K06192	pqiB; paraquat-inducible protein B
PSPTO_3180	5.30293949944676	6.38819570031773	-1.08525620087097	down	OG0002779	K09857	uncharacterized protein
PSPTO_3181	5.99218476914002	4.11210781322028	1.88007695591974	up	OG0002261		
PSPTO_3182	5.66989634904573	4.50516476454667	1.16473158449906	nonDEG	OG0000006		
PSPTO_3183	5.9546798543858	1.45891394966422	4.49576590472158	up	OG0000290	K06911	uncharacterized protein
PSPTO_3184	5.91417480816775	3.50923771104404	2.40493709712371	up	OG0003137	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]
PSPTO_3186	4.78650593232615	5.04610640865133	-0.25960047632518	nonDEG	OG0003732	K03307	TC.SSS; solute:Na+ symporter, SSS family
PSPTO_3188	4.76012649172666	4.53838116580743	0.22174532591923	nonDEG	OG0004188	K07251	thiK; thiamine kinase [EC:2.7.1.89]
PSPTO_3189	1.63735584649549	3.1414399004229	-1.50408405392741	nonDEG	OG0004188	K07251	thiK; thiamine kinase [EC:2.7.1.89]
PSPTO_3190	5.97394388815467	5.73391110449053	0.24003278366414	nonDEG	OG0001004	K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
PSPTO_3191	5.42097361287194	5.69381353061258	-0.27283991774064	nonDEG	OG0000081	K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
PSPTO_3192	7.2337947853691	6.55022187877011	0.68357290659899	nonDEG	OG0000087	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
