	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0005260|K09922|uncharacterized protein							PA	
OG0001579||								
OG0005261||								
OG0000348|K04043|dnaK; molecular chaperone DnaK								
OG0000755|K03687|GRPE; molecular chaperone GrpE								
OG0003165||								
OG0006108||								
OG0004062||								
OG0006504||								
OG0000623|K14060|pinR; putative DNA-invertase from lambdoid prophage Rac								
OG0001692|K01174|nuc; micrococcal nuclease [EC:3.1.31.1]								
OG0004544|K03200|virB5; type IV secretion system protein VirB5			PA					
OG0002523|K20530|trbE; type IV secretion system protein TrbE								
OG0002522|K03205|virD4; type IV secretion system protein VirD4			PA					PA
OG0003565|K03195|virB10; type IV secretion system protein VirB10								
OG0003564|K20532|trbG; type IV secretion system protein TrbG								
OG0005259|K03201|virB6; type IV secretion system protein VirB6			PA				PA	PA
OG0006541||								
OG0000813|K01463|bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]								
OG0001510|K13623|btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase			PA					
OG0001485|K16053|ybdG; miniconductance mechanosensitive channel			PA			PA		
OG0000645|K01698|hemB; porphobilinogen synthase [EC:4.2.1.24]			PA					
OG0002009|K11719|lptC; lipopolysaccharide export system protein LptC			PA					
OG0001817|K09774|lptA; lipopolysaccharide export system protein LptA			PA					
OG0004059|K12543|lapE; outer membrane protein, adhesin transport system			PA					
OG0000315|K12542|lapC; membrane fusion protein, adhesin transport system			PA					
OG0001077||								
OG0001195|K03555|mutS; DNA mismatch repair protein MutS								
OG0001948|K21420|bpt; leucyl-tRNA---protein transferase [EC:2.3.2.29]								
OG0005288||								
OG0003454||								
OG0004035|K16922|yydH; putative peptide zinc metalloprotease protein								
OG0004034||								
OG0000183|K00681|ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]		PA	PA					
OG0005289||								
OG0000043|K07165|fecR; transmembrane sensor			PA			PA		
OG0003172|K09474|phoN; acid phosphatase (class A) [EC:3.1.3.2]			PA				PA	
OG0003792||								
OG0004027|K06915|uncharacterized protein	PA		PA					
OG0006542||								
OG0004074||								
OG0002698|K06899|ndpA; nucleoid-associated protein								
OG0006543||								
OG0004296||								
OG0002837||								
OG0004056||								
OG0000797|K06351|kipI; inhibitor of KinA			PA			PA		
OG0000779|K03281|TC.CIC; chloride channel protein, CIC family		PA	PA					
OG0000259||								
OG0006544||								
OG0006545||								
OG0002950|K17735|lcdH; carnitine 3-dehydrogenase [EC:1.1.1.108]	PA		PA			PA		
OG0003928|K09967|uncharacterized protein	PA	PA	PA	PA		PA	PA	
OG0003927|K01941|E6.3.4.6; urea carboxylase [EC:6.3.4.6]	PA	PA	PA				PA	
OG0003095|K01457|atzF; allophanate hydrolase [EC:3.5.1.54]	PA	PA	PA			PA	PA	
OG0003092|K02051|ABC.SN.S; NitT/TauT family transport system substrate-binding protein		PA	PA			PA		
OG0006546||								
OG0004557||								
OG0000487|K11901|impB; type VI secretion system protein ImpB			PA			PA		PA
OG0000532|K11900|impC; type VI secretion system protein ImpC			PA			PA		PA
OG0001632|K11903|hcp; type VI secretion system secreted protein Hcp			PA			PA		PA
OG0000455|K11896|impG; type VI secretion system protein ImpG			PA			PA		PA
OG0000808|K11891|impL; type VI secretion system protein ImpL			PA			PA		
OG0001386|K00684|aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]			PA					
OG0000489|K11893|impJ; type VI secretion system protein ImpJ			PA			PA		PA
OG0001393|K11892|impK; type VI secretion system protein ImpK			PA			PA		PA
OG0002843|K17733|cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]					PA			
OG0002683|K09927|uncharacterized protein		PA	PA		PA	PA	PA	
OG0006547|K09765|queH; epoxyqueuosine reductase [EC:1.17.99.6]						PA		
OG0006589|K09712|uncharacterized protein						PA		
OG0000339|K01752|E4.3.1.17; L-serine dehydratase [EC:4.3.1.17]			PA					
OG0002793|K02618|paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]	PA	PA				PA		
OG0002287|K02609|paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]		PA	PA					
OG0002286|K02610|paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB		PA	PA					
OG0002285|K02611|paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]		PA						
OG0001346|K01912|paaK; phenylacetate-CoA ligase [EC:6.2.1.30]		PA	PA			PA	PA	
OG0003107|K02616|paaX; phenylacetic acid degradation operon negative regulatory protein			PA			PA		
OG0006404|K01714|dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]			PA			PA		
OG0003593|K02617|paaY; phenylacetic acid degradation protein			PA					
OG0006049||								
OG0001809|K00481|pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]		PA	PA			PA		PA
OG0004075||								
OG0006548||								
OG0003042|K00612|E2.1.3.-; carbamoyltransferase [EC:2.1.3.-]	PA		PA	PA	PA			
OG0006549||								
OG0002520|K04090|E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]		PA				PA		
OG0000707|K01640|E4.1.3.4; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	PA	PA				PA		
OG0002452|K15256|cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]		PA	PA		PA	PA		
OG0005290||								
OG0004558||								
OG0002916||								
OG0000233|K03781|katE; catalase [EC:1.11.1.6]	PA	PA	PA		PA	PA		
OG0006550||								
OG0005291||								
OG0005292||								
OG0003173||								
OG0000866|K11717|sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]							PA	
OG0005293||								
OG0001686|K11209|yghU; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]			PA			PA		
OG0001638|K00799|GST; glutathione S-transferase [EC:2.5.1.18]			PA			PA		
OG0002817||								
OG0002641|K13929|mdcA; malonate decarboxylase alpha subunit [EC:2.3.1.187]			PA	PA				
OG0002640|K13930|mdcB; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	PA	PA	PA	PA				
OG0002639|K13931|mdcC; malonate decarboxylase delta subunit			PA	PA				
OG0002638|K13932|mdcD; malonate decarboxylase beta subunit [EC:4.1.1.87]			PA	PA				
OG0004552||								
OG0002953|K13933|mdcE; malonate decarboxylase gamma subunit [EC:4.1.1.87]			PA					
OG0003787||								
OG0001448|K03758|arcD; arginine:ornithine antiporter / lysine permease			PA				PA	PA
OG0005294||								
OG0001970|K15551|tauA; taurine transport system substrate-binding protein		PA	PA					
OG0003679|K03325|ACR3; arsenite transporter	PA		PA	PA			PA	PA
OG0001922|K11811|arsH; arsenical resistance protein ArsH			PA				PA	PA
OG0001717|K15396|trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]								
OG0001296|K14260|alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]						PA		
OG0002412|K14267|dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]						PA		
OG0001804|K00990|glnD; [protein-PII] uridylyltransferase [EC:2.7.7.59]	PA		PA					
OG0001854|K08289|purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]			PA	PA				
OG0000636||								
OG0000291|K00108|betA; choline dehydrogenase [EC:1.1.99.1]		PA	PA			PA		
OG0001365|K10001|gltI; glutamate/aspartate transport system substrate-binding protein			PA			PA	PA	
OG0000452||								
OG0001362|K07347|fimD; outer membrane usher protein						PA		
OG0000570|K15540|ecpD; chaperone protein EcpD								
OG0002617|K07345|fimA; major type 1 subunit fimbrin (pilin)						PA		
OG0001403|K01012|bioB; biotin synthase [EC:2.8.1.6]	PA							
OG0005295|K17838|oxa; beta-lactamase class D [EC:3.5.2.6]			PA				PA	
OG0002258|K07113|fxsA; UPF0716 protein FxsA	PA		PA					
OG0000933|K05595|marC; multiple antibiotic resistance protein		PA	PA		PA			
OG0001994|K07397|yhfA; putative redox protein		PA				PA		
OG0006552||								
OG0002739|K00557|trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]								
OG0000695|K18893|vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump			PA			PA		
OG0002343|K09912|uncharacterized protein								
OG0001643||								
OG0002761|K07862|sstT; serine/threonine transporter						PA	PA	
OG0001947|K18850|ycfD; 50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]								
OG0000093|K03769|ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	PA		PA					PA
OG0001781|K04744|lptD; LPS-assembly protein								
OG0001964|K07102|amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]								
OG0001521|K00992|murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]			PA					
OG0002658||								
OG0000856|K03501|gidB; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]								
OG0000397|K03497|parB; chromosome partitioning protein, ParB family			PA					
OG0001766|K03561|exbB; biopolymer transport protein ExbB			PA			PA		
OG0001388|K00912|lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]			PA					
OG0000708|K00979|kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]			PA					
OG0003591|K02676|pilZ; type IV pilus assembly protein PilZ						PA		
OG0002459|K02459|gspJ; general secretion pathway protein J			PA					
OG0002460|K02460|gspK; general secretion pathway protein K			PA					
OG0001118|K01737|queD; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]			PA		PA	PA		
OG0002059||								
OG0001675|K01591|pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]					PA			
OG0006101||								
OG0001524|K01638|aceB; malate synthase [EC:2.3.3.9]			PA					
OG0000523|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0006554||								
OG0000036|K02033|ABC.PE.P; peptide/nickel transport system permease protein	PA		PA			PA	PA	
OG0000037|K02034|ABC.PE.P1; peptide/nickel transport system permease protein	PA		PA			PA	PA	
OG0006555||								
OG0001722|K01082|cysQ; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]			PA		PA			
OG0000877|K00329|E7.1.1.2; NADH dehydrogenase [EC:7.1.1.2]								
OG0002113|K02553|rraA; regulator of ribonuclease activity A				PA				PA
OG0002350|K03675|grxB; glutaredoxin 2								
OG0002055||								
OG0002806|K01768|E4.6.1.1; adenylate cyclase [EC:4.6.1.1]			PA	PA		PA		
OG0002497|K04082|hscB; molecular chaperone HscB					PA			
OG0001690||								
OG0000100|K19270|yfbT; sugar-phosphatase [EC:3.1.3.23]		PA	PA					
OG0001745|K02231|cobP; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]			PA			PA		PA
OG0001621|K00768|E2.4.2.21; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	PA		PA			PA		PA
OG0001622|K02233|E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]			PA		PA	PA		PA
OG0001566|K07090|uncharacterized protein	PA	PA	PA					
OG0001823||								
OG0001418|K00748|lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]			PA					
OG0002465||								
OG0003815||								
OG0002978||								
OG0006556||								
OG0001657||								
OG0005235||								
OG0004911||								
OG0000283||								
OG0001251|K09747|uncharacterized protein	PA				PA			
OG0004504||								
OG0002188|K09902|uncharacterized protein								
OG0002419||								
OG0002679|K09989|uncharacterized protein			PA			PA		
OG0000698|K01736|aroC; chorismate synthase [EC:4.2.3.5]								
OG0002894||								
OG0002131|K07090|uncharacterized protein	PA	PA	PA					
OG0002767||								
OG0000837|K07240|chrA; chromate transporter		PA	PA				PA	
OG0004988||								
OG0004989||								
OG0004990|K02051|ABC.SN.S; NitT/TauT family transport system substrate-binding protein		PA	PA			PA		
OG0003567||								
OG0002217|K02014|TC.FEV.OM; iron complex outermembrane recepter protein			PA		PA	PA		
OG0002196|K02106|atoE; short-chain fatty acids transporter		PA		PA	PA	PA		PA
OG0001953||								
OG0001396|K02020|modA; molybdate transport system substrate-binding protein			PA			PA		
OG0001959|K02017|modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]	PA		PA					
OG0006535||								
OG0005296|K02363|entE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]	PA	PA	PA			PA		PA
OG0006559|K01252|entB; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]	PA	PA	PA					PA
OG0006536||								
OG0002161|K06136|pqqB; pyrroloquinoline quinone biosynthesis protein B			PA		PA	PA		PA
OG0001965|K06137|pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]		PA	PA					PA
OG0001966|K06139|pqqE; PqqA peptide cyclase [EC:1.21.98.4]			PA			PA		PA
OG0000337|K01273|DPEP; membrane dipeptidase [EC:3.4.13.19]		PA	PA					
OG0003680||								
OG0003398||								
OG0001034|K00121|frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]			PA	PA		PA		
OG0003770||								
OG0005397||								
OG0002682||								
OG0005416|K04094|trmFO; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]			PA					
OG0001435||								
OG0006884|K06918|uncharacterized protein			PA					
OG0006885|K08990|ycjF; putative membrane protein			PA					
OG0006872|K09131|uncharacterized protein		PA						
OG0001457|K04755|fdx; ferredoxin, 2Fe-2S			PA					
OG0001035|K00573|E2.1.1.77; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	PA							
OG0002695|K09971|aapM; general L-amino acid transport system permease protein			PA			PA	PA	
OG0000140|K22441|paiA; diamine N-acetyltransferase [EC:2.3.1.57]								
OG0002694|K09970|aapQ; general L-amino acid transport system permease protein			PA				PA	
OG0002447|K09969|aapJ; general L-amino acid transport system substrate-binding protein			PA					
OG0002997|K11529|gck; glycerate 2-kinase [EC:2.7.1.165]								
OG0000492||								
OG0002320||								
OG0004528|K00059|fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]		PA	PA		PA	PA		
OG0001339|K06193|phnA; protein PhnA		PA	PA					
OG0001658||								
OG0002486|K09456|aidB; putative acyl-CoA dehydrogenase			PA			PA		PA
OG0001648|K08591|plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]			PA		PA			
OG0001976||								
OG0000723|K02913|RP-L33; large subunit ribosomal protein L33								
OG0004583||								
OG0002775|K05606|MCEE; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]			PA				PA	
OG0002294|K12574|rnj; ribonuclease J [EC:3.1.-.-]								
OG0003185|K00332|nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	PA				PA			
OG0000815||								
OG0000542|K06995|uncharacterized protein		PA	PA				PA	
OG0006886|K02259|COX15; cytochrome c oxidase assembly protein subunit 15					PA	PA	PA	
OG0001333|K01184|E3.2.1.15; polygalacturonase [EC:3.2.1.15]	PA		PA			PA	PA	PA
OG0005314||								
OG0004573||								
OG0003876||								
OG0006766||								
OG0004635||								
OG0002112|K01872|AARS; alanyl-tRNA synthetase [EC:6.1.1.7]								
OG0006498||								
OG0001301||								
OG0002587||								
OG0000253|K01118|acpD; FMN-dependent NADH-azoreductase [EC:1.7.1.17]		PA	PA		PA	PA		
OG0002490|K03498|trkH; trk system potassium uptake protein			PA		PA	PA		PA
OG0001364||								
OG0001864|K03621|plsX; phosphate acyltransferase [EC:2.3.1.274]					PA			
OG0001747|K01724|PCBD; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	PA	PA	PA		PA	PA		
OG0001882|K01975|thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	PA		PA				PA	
OG0004113|K00035|gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]			PA			PA	PA	PA
OG0000638|K10218|ligK; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]		PA	PA			PA		PA
OG0001500|K18981|udh; uronate dehydrogenase [EC:1.1.1.203]			PA			PA	PA	
OG0002498|K13875|araC; L-arabonate dehydrase [EC:4.2.1.25]		PA				PA		
OG0000041|K17317|gtsC; glucose/mannose transport system permease protein			PA			PA		
OG0005418||								
OG0002014|K02339|holC; DNA polymerase III subunit chi [EC:2.7.7.7]								
OG0000346|K06999|phospholipase/carboxylesterase	PA		PA					
OG0001412||								
OG0001992||								
OG0001571|K01259|pip; proline iminopeptidase [EC:3.4.11.5]			PA		PA			
OG0004129|K01613|psd; phosphatidylserine decarboxylase [EC:4.1.1.65]	PA		PA					
OG0005449||								
OG0001884|K09771|TC.SMR3; small multidrug resistance family-3 protein		PA	PA		PA			
OG0002403|K00799|GST; glutathione S-transferase [EC:2.5.1.18]			PA			PA		
OG0004643||								
OG0002106|K02050|ABC.SN.P; NitT/TauT family transport system permease protein		PA	PA			PA		PA
OG0002101|K02051|ABC.SN.S; NitT/TauT family transport system substrate-binding protein		PA	PA			PA		
OG0002107|K15975|glyoxalase family protein			PA		PA	PA		
OG0002322|K06950|uncharacterized protein			PA			PA		
OG0002122|K07140|uncharacterized protein		PA	PA		PA			
OG0001824|K03584|recO; DNA repair protein RecO (recombination protein O)								
OG0003183||								
OG0002740||								
OG0000005|K03406|mcp; methyl-accepting chemotaxis protein	PA		PA	PA		PA	PA	
OG0005419||								
OG0000656||								
OG0004637||								
OG0001672|K02195|ccmC; heme exporter protein C					PA			
OG0006938||								
OG0002042|K01241|amn; AMP nucleosidase [EC:3.2.2.4]	PA		PA					PA
OG0000313|K20534|gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]								
OG0003705||								
OG0002253||								
OG0003865||								
OG0002034|K04046|yegD; hypothetical chaperone protein			PA		PA	PA		
OG0001910||								
OG0000421|K03407|cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]		PA	PA			PA		
OG0002705||								
OG0001673|K02198|ccmF; cytochrome c-type biogenesis protein CcmF			PA					
OG0001812|K02197|ccmE; cytochrome c-type biogenesis protein CcmE			PA					
OG0001991|K02200|ccmH; cytochrome c-type biogenesis protein CcmH								
OG0002069|K07637|phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]								
OG0000635|K17736|cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator								
OG0006553||								
OG0005420||								
OG0002220|K02441|glpG; GlpG protein								
OG0003284||								
OG0002039|K18588|COQ10; coenzyme Q-binding protein COQ10								
OG0002851|K13598|ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]								
OG0002175|K03499|trkA; trk system potassium uptake protein			PA		PA	PA		PA
OG0004383||								
OG0000462|K00605|gcvT; aminomethyltransferase [EC:2.1.2.10]								
OG0002660||								
OG0006867|K07090|uncharacterized protein	PA	PA	PA					
OG0001178|K06167|phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]				PA			PA	
OG0003531||								
OG0001597||								
OG0001124|K13924|cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]			PA		PA	PA		PA
OG0004132||								
OG0004596|K09005|uncharacterized protein	PA		PA		PA			
OG0002797|K04092|tyrA1; chorismate mutase [EC:5.4.99.5]		PA	PA					
OG0000053|K13587|cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]								
OG0000334||								
OG0002551|K01192|E3.2.1.25; beta-mannosidase [EC:3.2.1.25]	PA	PA	PA		PA			
OG0006873|K02063|thiP; thiamine transport system permease protein	PA		PA					
OG0006861|K11940|hspQ; heat shock protein HspQ			PA					
OG0003536||								
OG0001987|K09159|cptB; antitoxin CptB								
OG0006874|K02064|thiB; thiamine transport system substrate-binding protein	PA		PA					
OG0001276|K00303|soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]		PA	PA			PA	PA	
OG0005210||								
OG0000318|K01448|amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	PA							
OG0003702|K00949|thiN; thiamine pyrophosphokinase [EC:2.7.6.2]			PA		PA	PA		
OG0005407|K00651|metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]			PA					
OG0001926|K09919|uncharacterized protein						PA		
OG0001706||								
OG0002666|K18480|linN; cholesterol transport system auxiliary component			PA				PA	
OG0002178|K02067|mlaD; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	PA		PA					
OG0002179|K02065|mlaF; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein			PA					
OG0001746||								
OG0006887|K02029|ABC.PA.P; polar amino acid transport system permease protein		PA	PA			PA	PA	PA
OG0001062|K00901|dgkA; diacylglycerol kinase (ATP) [EC:2.7.1.107]			PA					
OG0000630|K06938|uncharacterized protein			PA			PA		
OG0003094|K06985|aspartyl protease family protein			PA				PA	
OG0002183||								
OG0002277||								
OG0000653||								
OG0002246|K07147|msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]			PA			PA		
OG0002245|K17247|msrQ; methionine sulfoxide reductase heme-binding subunit			PA			PA		
OG0003291||								
OG0001309|K03322|mntH; manganese transport protein	PA		PA		PA	PA		
OG0002566||								
OG0002856||								
OG0001499|K21395|yiaO; TRAP-type transport system periplasmic protein								
OG0005428||								
OG0004121|K07004|uncharacterized protein	PA			PA	PA		PA	
OG0005139|K02431|fucU; L-fucose mutarotase [EC:5.1.3.29]	PA		PA			PA		
OG0001944|K21394|yiaM; TRAP-type transport system small permease protein								
OG0005189||								
OG0002028|K04087|hflC; membrane protease subunit HflC [EC:3.4.-.-]			PA					
OG0002027|K04088|hflK; membrane protease subunit HflK [EC:3.4.-.-]			PA					
OG0002492||								
OG0002032|K07290|yhjG; AsmA family protein						PA		
OG0002530|K22025|denD; D-erythronate 2-dehydrogenase [EC:1.1.1.410]								
OG0000223|K07152|SCO1_2; protein SCO1/2	PA		PA			PA		PA
OG0000628|K03408|cheW; purine-binding chemotaxis protein CheW	PA		PA					
OG0002508|K05805|creA; CreA protein			PA					
OG0003706|K06402|spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]								
OG0001337|K21973|bluF; blue light- and temperature-responsive anti-repressor								
OG0004262|K01266|dmpA; D-aminopeptidase [EC:3.4.11.19]	PA	PA					PA	PA
OG0000270|K03806|ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]								
OG0002160|K05801|djlA; DnaJ like chaperone protein			PA		PA			
OG0003703|K15736|lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.5.-]	PA							
OG0002634||								
OG0003363|K11210|fosB; metallothiol transferase [EC:2.5.1.-]								
OG0002783|K02188|cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	PA		PA					
OG0003521|K07226|hugZ; heme iron utilization protein		PA	PA		PA	PA	PA	
OG0003918||								
OG0000377||								
OG0002344|K02224|cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]			PA		PA			
OG0006053|K19166|higB; mRNA interferase HigB [EC:3.1.-.-]			PA					
OG0006052|K18831|higA; HTH-type transcriptional regulator / antitoxin HigA			PA					
OG0002614||								
OG0004612||								
OG0002850||								
OG0002051|K01787|RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]								
OG0003010||								
OG0003750||								
OG0002565|K09807|uncharacterized protein	PA		PA					
OG0001825|K00428|E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]			PA				PA	PA
OG0000382||								
OG0005262||								
OG0002760|K03717|nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA			PA				PA	PA
OG0000595|K01711|gmd; GDPmannose 4,6-dehydratase [EC:4.2.1.47]			PA					
OG0002426|K02377|TSTA3; GDP-L-fucose synthase [EC:1.1.1.271]		PA	PA	PA		PA		
OG0002527||								
OG0001700|K07300|chaA; Ca2+:H+ antiporter		PA	PA		PA		PA	
OG0002621|K09958|uncharacterized protein		PA	PA		PA	PA	PA	
OG0004632||								
OG0003741||								
OG0001757|K01644|citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]		PA	PA			PA		
OG0004608||								
OG0001189|K05810|yfiH; polyphenol oxidase [EC:1.10.3.-]	PA							
OG0006889|K15783|doeA; ectoine hydrolase [EC:3.5.4.44]			PA					
OG0003459|K02030|ABC.PA.S; polar amino acid transport system substrate-binding protein			PA			PA		PA
OG0002444|K00413|CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit							PA	
OG0002001|K00411|UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]			PA				PA	
OG0001802|K03324|yjbB; phosphate:Na+ symporter			PA	PA	PA	PA		PA
OG0006890||								
OG0005181|K06218|relE; mRNA interferase RelE/StbE	PA		PA				PA	
OG0001949|K07393|ECM4; glutathionyl-hydroquinone reductase [EC:1.8.5.7]	PA	PA	PA			PA		PA
OG0006860|K01358|clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]			PA					
OG0003045|K03192|ureJ; urease accessory protein			PA			PA		
OG0002741|K09945|uncharacterized protein			PA			PA	PA	
OG0005422||								
OG0002040|K16087|TC.FEV.OM3; hemoglobin/transferrin/lactoferrin receptor protein			PA		PA	PA		
OG0002249||								
OG0003046||								
OG0004937|K02638|petE; plastocyanin								
OG0000545|K02002|proX; glycine betaine/proline transport system substrate-binding protein			PA			PA	PA	
OG0000580|K02001|proW; glycine betaine/proline transport system permease protein			PA				PA	
OG0002864|K01486|ade; adenine deaminase [EC:3.5.4.2]			PA					
OG0000946|K07814|putative two-component system response regulator			PA		PA	PA	PA	PA
OG0002569|K01265|map; methionyl aminopeptidase [EC:3.4.11.18]								
OG0002889||								
OG0004133||								
OG0001832|K22719|envC; murein hydrolase activator								
OG0000519||								
OG0002307|K09702|uncharacterized protein	PA		PA		PA		PA	PA
OG0002753||								
OG0000495|K02623|pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator			PA					PA
OG0002716|K09798|uncharacterized protein			PA					
OG0004087||								
OG0005320|K00574|cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	PA		PA	PA	PA	PA		
OG0005424|K07334|higB-1; toxin HigB-1								
OG0001277|K21498|higA-1; antitoxin HigA-1								
OG0000606|K10125|dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]			PA			PA		
OG0001738|K03932|lpqC; polyhydroxybutyrate depolymerase		PA	PA			PA	PA	
OG0001842|K11960|urtB; urea transport system permease protein		PA	PA			PA		
OG0001843|K11959|urtA; urea transport system substrate-binding protein		PA	PA			PA		
OG0004938|K01915|glnA; glutamine synthetase [EC:6.3.1.2]								
OG0004076||								
OG0004570||								
OG0003644|K06902|UMF1; MFS transporter, UMF1 family			PA			PA		
OG0003106||								
OG0002152|K15371|GDH2; glutamate dehydrogenase [EC:1.4.1.2]	PA		PA			PA		
OG0006892||								
OG0002590|K09790|uncharacterized protein			PA					
OG0003195|K21481|mhuD; heme oxygenase (mycobilin-producing) [EC:1.14.99.57]								
OG0003924||								
OG0001877|K08641|vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	PA	PA					PA	
